Name: 东南卫视, URL: http://61.138.128.226:19901/tsfile/live/1014_1.m3u8$订阅源, Date: None, Delay: 2507 ms, Speed: 0.03 M/s, Resolution: 1920x1080
Name: 东南卫视, URL: http://58.220.219.14:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 3097 ms, Speed: 0.01 M/s, Resolution: None
Name: 东南卫视, URL: http://211.101.247.19:6699/api/migu.php?type=hls&url=dnws$订阅源, Date: None, Delay: 684 ms, Speed: 0.00 M/s, Resolution: None
Name: 东南卫视, URL: http://123.166.61.70:8003/hls/53/index.m3u8$订阅源, Date: None, Delay: 280 ms, Speed: 0.27 M/s, Resolution: 1920x1080
Name: 东南卫视, URL: http://58.221.214.82:9901/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 3592 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: 东南卫视, URL: http://123.129.70.178:9901/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 790 ms, Speed: 0.01 M/s, Resolution: None
Name: 东南卫视, URL: http://123.182.210.159:9901/tsfile/live/1012_1.m3u8$订阅源, Date: None, Delay: 284 ms, Speed: 0.01 M/s, Resolution: None
Name: 东南卫视, URL: http://139.129.231.228:3529/rtp/239.21.1.113:5002$山东电信组播源, Date: 2024-02-06, Delay: 251 ms, Speed: 0.10 M/s, Resolution: None
Name: 东南卫视, URL: http://112.234.21.109:9901/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 284 ms, Speed: 0.24 M/s, Resolution: 720x576
Name: 东南卫视, URL: http://123.129.70.178:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 790 ms, Speed: 0.01 M/s, Resolution: None
Name: 东南卫视, URL: http://116.117.104.242:8096/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 280 ms, Speed: 0.02 M/s, Resolution: None
Name: 东南卫视, URL: http://58.19.43.46:9901/tsfile/live/1046_1.m3u8$订阅源, Date: None, Delay: 248 ms, Speed: 0.06 M/s, Resolution: 1920x1080
Name: 东南卫视, URL: http://175.10.230.91:8081/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 261 ms, Speed: 0.43 M/s, Resolution: 720x576
Name: 东南卫视, URL: http://219.145.93.74:9999/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 263 ms, Speed: 0.09 M/s, Resolution: 1920x1080
Name: 东南卫视, URL: http://61.136.172.236:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 254 ms, Speed: 0.02 M/s, Resolution: None
Name: 东南卫视, URL: http://61.136.172.236:9901/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 254 ms, Speed: 0.02 M/s, Resolution: None
Name: 东南卫视, URL: http://111.61.236.247:9081/hls/42/index.m3u8$订阅源, Date: None, Delay: 328 ms, Speed: 0.19 M/s, Resolution: None
Name: 东南卫视, URL: http://175.10.230.91:8081/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 261 ms, Speed: 0.43 M/s, Resolution: 720x576
Name: 东南卫视, URL: http://219.145.93.74:9999/tsfile/live/0116_1.m3u8$订阅源, Date: None, Delay: 263 ms, Speed: 0.09 M/s, Resolution: 1920x1080
Name: 东南卫视, URL: http://221.233.192.152:1111/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 2829 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: 东南卫视, URL: http://116.128.242.83:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源, Date: None, Delay: 4268 ms, Speed: 0.02 M/s, Resolution: None
Name: 东南卫视, URL: http://110.7.130.91:8096/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 2110 ms, Speed: 0.00 M/s, Resolution: None
Name: 东南卫视, URL: http://116.117.105.247:8096/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 462 ms, Speed: 0.02 M/s, Resolution: None
Name: 东南卫视, URL: http://123.182.60.29:9002/hls/29/index.m3u8$订阅源, Date: None, Delay: 380 ms, Speed: 0.10 M/s, Resolution: 720x576
Name: 东南卫视, URL: http://124.228.161.8:9901/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 268 ms, Speed: 0.00 M/s, Resolution: None
Name: 东南卫视, URL: http://116.128.242.83:9901/tsfile/live/0127_1.m3u8$订阅源, Date: None, Delay: 4268 ms, Speed: 0.02 M/s, Resolution: None
Name: 东南卫视, URL: http://221.233.192.152:1111/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 2829 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: 东南卫视, URL: http://119.163.199.98:9901/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 2264 ms, Speed: 0.01 M/s, Resolution: None
Name: 东南卫视, URL: http://110.7.130.134:8096/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 1927 ms, Speed: 0.01 M/s, Resolution: None
Name: 东南卫视, URL: http://117.27.190.42:9998/tsfile/live/23281_1.m3u8$订阅源, Date: None, Delay: 1054 ms, Speed: 0.05 M/s, Resolution: None
Name: 东南卫视, URL: http://117.27.190.42:9998/tsfile/live/23281_1.m3u8?key=txiptv$订阅源, Date: None, Delay: 1054 ms, Speed: 0.05 M/s, Resolution: None
Name: 东南卫视, URL: http://60.187.244.54:9901/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 1552 ms, Speed: 0.05 M/s, Resolution: 1920x1080
Name: 东南卫视, URL: http://220.249.114.102:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 1015 ms, Speed: 0.01 M/s, Resolution: None
Name: 东南卫视, URL: http://220.249.114.102:9901/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 1015 ms, Speed: 0.01 M/s, Resolution: None
Name: 东南卫视, URL: http://59.173.243.210:9901/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 390 ms, Speed: 0.01 M/s, Resolution: None
Name: 东南卫视, URL: http://1.183.141.194:8001/hls/40/index.m3u8$订阅源, Date: None, Delay: 607 ms, Speed: 0.06 M/s, Resolution: 720x576
Name: 东南卫视, URL: http://223.166.234.9:7777/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 244 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: 东南卫视, URL: http://59.173.243.210:9901/tsfile/live/1033_1.m3u8$订阅源, Date: None, Delay: 390 ms, Speed: 0.01 M/s, Resolution: None
Name: 东南卫视, URL: http://202.100.46.58:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 2105 ms, Speed: 0.02 M/s, Resolution: None
Name: 东南卫视, URL: http://221.0.78.198:1681/hls/10240/index.m3u8$订阅源, Date: None, Delay: 310 ms, Speed: 0.09 M/s, Resolution: None
Name: 东南卫视, URL: http://110.7.129.116:8096/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 1329 ms, Speed: 0.02 M/s, Resolution: None
Name: 东南卫视, URL: http://110.7.130.44:8096/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 275 ms, Speed: 0.02 M/s, Resolution: None
Name: 东南卫视, URL: http://118.122.189.74:9901/tsfile/live/0133_1.m3u8$订阅源, Date: None, Delay: 738 ms, Speed: 0.03 M/s, Resolution: None
Name: 东南卫视, URL: http://202.100.46.58:9901/tsfile/live/1031_1.m3u8$订阅源, Date: None, Delay: 2105 ms, Speed: 0.02 M/s, Resolution: None
Name: 东南卫视, URL: http://110.7.128.156:8096/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 277 ms, Speed: 0.03 M/s, Resolution: None
Name: 东南卫视, URL: http://123.130.84.106:8154/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 2225 ms, Speed: 0.03 M/s, Resolution: None
Name: 东南卫视, URL: http://116.117.106.240:8096/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 303 ms, Speed: 0.02 M/s, Resolution: None
Name: 东南卫视, URL: http://cc-ynbit-wszhibo.ifengli.com:2000/live/fjws-hd/2500.m3u8?innersid=10943554111088989087$订阅源, Date: None, Delay: 491 ms, Speed: 2.06 M/s, Resolution: 1920x1080
Name: 东南卫视, URL: http://101.74.31.69:9901/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 6087 ms, Speed: 0.00 M/s, Resolution: None
Name: 东南卫视, URL: http://123.130.84.106:8154/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 2225 ms, Speed: 0.03 M/s, Resolution: None
Name: 东南卫视, URL: http://110.7.129.204:8096/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 494 ms, Speed: 0.02 M/s, Resolution: None
Name: 东南卫视, URL: http://222.241.154.37:9901/tsfile/live/23037_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 2268 ms, Speed: 0.04 M/s, Resolution: None
Name: 东南卫视, URL: http://113.57.93.165:9900/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 271 ms, Speed: 0.01 M/s, Resolution: None
Name: 东南卫视, URL: http://222.134.245.16:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 2262 ms, Speed: 0.29 M/s, Resolution: None
Name: 东南卫视, URL: http://124.128.73.58:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 2260 ms, Speed: 0.05 M/s, Resolution: None
Name: 东南卫视, URL: http://124.128.73.58:9901/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 2260 ms, Speed: 0.05 M/s, Resolution: None
Name: 东南卫视, URL: http://119.36.148.115:59901/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 2249 ms, Speed: 0.08 M/s, Resolution: None
Name: 东南卫视, URL: http://183.66.13.82:60033/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 413 ms, Speed: 0.13 M/s, Resolution: None
Name: 东南卫视, URL: http://124.128.73.58:9901/tsfile/live/0137_1.m3u8?key=txiptv$订阅源, Date: None, Delay: 2260 ms, Speed: 0.05 M/s, Resolution: None
Name: 东南卫视, URL: http://222.134.245.16:9901/tsfile/live/0137_1.m3u8$订阅源, Date: None, Delay: 2262 ms, Speed: 0.29 M/s, Resolution: None
Name: 东南卫视, URL: http://222.241.154.37:9901/tsfile/live/23037_1.m3u8?key=txiptv$订阅源, Date: None, Delay: 2268 ms, Speed: 0.04 M/s, Resolution: None
Name: 东南卫视, URL: http://221.2.148.205:8154/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 264 ms, Speed: 0.24 M/s, Resolution: None
Name: 甘肃卫视, URL: http://61.138.128.226:19901/tsfile/live/0141_1.m3u8$订阅源, Date: None, Delay: 2507 ms, Speed: 0.03 M/s, Resolution: 1920x1080
Name: 甘肃卫视, URL: http://58.220.219.14:9901/tsfile/live/0141_1.m3u8?key=txiptv$订阅源, Date: None, Delay: 3097 ms, Speed: 0.01 M/s, Resolution: None
Name: 甘肃卫视, URL: http://58.220.219.14:9901/tsfile/live/0141_1.m3u8$订阅源, Date: None, Delay: 3097 ms, Speed: 0.01 M/s, Resolution: None
Name: 甘肃卫视, URL: http://144.52.160.109:9901/tsfile/live/1032_1.m3u8$订阅源, Date: None, Delay: 554 ms, Speed: 0.02 M/s, Resolution: 720x576
Name: 甘肃卫视, URL: http://59.48.75.130:3052/tsfile/live/1001_1.m3u8$订阅源, Date: None, Delay: 1329 ms, Speed: 0.06 M/s, Resolution: None
Name: 甘肃卫视, URL: http://113.236.31.149:9901/tsfile/live/1062_1.m3u8$订阅源, Date: None, Delay: 358 ms, Speed: 0.12 M/s, Resolution: None
Name: 甘肃卫视, URL: http://58.220.219.14:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 3097 ms, Speed: 0.01 M/s, Resolution: None
Name: 甘肃卫视, URL: http://139.129.231.228:3529/rtp/239.21.2.22:5002$山东电信组播源, Date: 2024-02-06, Delay: 251 ms, Speed: 0.10 M/s, Resolution: None
Name: 甘肃卫视, URL: http://112.234.21.109:9901/tsfile/live/0141_1.m3u8$订阅源, Date: None, Delay: 284 ms, Speed: 0.24 M/s, Resolution: 720x576
Name: 甘肃卫视, URL: http://61.138.128.226:19901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 2507 ms, Speed: 0.03 M/s, Resolution: 1920x1080
Name: 甘肃卫视, URL: http://59.48.75.130:3052/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 1329 ms, Speed: 0.06 M/s, Resolution: None
Name: 甘肃卫视, URL: http://111.61.236.247:9081/hls/54/index.m3u8$订阅源, Date: None, Delay: 328 ms, Speed: 0.19 M/s, Resolution: None
Name: 甘肃卫视, URL: http://61.243.161.199:9901/tsfile/live/1062_1.m3u8$订阅源, Date: None, Delay: 789 ms, Speed: 0.03 M/s, Resolution: 1920x1080
Name: 甘肃卫视, URL: http://61.173.144.157:9901/tsfile/live/0113_1.m3u8$订阅源, Date: None, Delay: 1027 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: 甘肃卫视, URL: http://58.53.152.198:9901/tsfile/live/0141_1.m3u8$订阅源, Date: None, Delay: 3531 ms, Speed: 0.02 M/s, Resolution: None
Name: 甘肃卫视, URL: http://61.173.144.157:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 1027 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: 甘肃卫视, URL: http://117.27.190.42:9998/tsfile/live/23277_1.m3u8$订阅源, Date: None, Delay: 1054 ms, Speed: 0.05 M/s, Resolution: None
Name: 甘肃卫视, URL: http://117.27.190.42:9998/tsfile/live/23277_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 1054 ms, Speed: 0.05 M/s, Resolution: None
Name: 甘肃卫视, URL: http://117.27.190.42:9998/tsfile/live/23277_1.m3u8?key=txiptv$订阅源, Date: None, Delay: 1054 ms, Speed: 0.05 M/s, Resolution: None
Name: 甘肃卫视, URL: http://220.249.114.102:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 1015 ms, Speed: 0.01 M/s, Resolution: None
Name: 甘肃卫视, URL: http://220.249.114.102:9901/tsfile/live/0141_1.m3u8$订阅源, Date: None, Delay: 1015 ms, Speed: 0.01 M/s, Resolution: None
Name: 甘肃卫视, URL: http://118.122.189.74:9901/tsfile/live/0141_1.m3u8$订阅源, Date: None, Delay: 738 ms, Speed: 0.03 M/s, Resolution: None
Name: 甘肃卫视, URL: http://202.100.46.58:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 2105 ms, Speed: 0.02 M/s, Resolution: None
Name: 甘肃卫视, URL: http://223.166.234.9:7777/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 244 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: 甘肃卫视, URL: http://202.100.46.58:9901/tsfile/live/1035_1.m3u8$订阅源, Date: None, Delay: 2105 ms, Speed: 0.02 M/s, Resolution: None
Name: 甘肃卫视, URL: http://118.122.189.74:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 738 ms, Speed: 0.03 M/s, Resolution: None
Name: 甘肃卫视, URL: http://123.130.84.106:8154/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 2225 ms, Speed: 0.03 M/s, Resolution: None
Name: 甘肃卫视, URL: http://121.33.239.242:9901/tsfile/live/0141_1.m3u8$订阅源, Date: None, Delay: 1572 ms, Speed: 0.04 M/s, Resolution: None
Name: 甘肃卫视, URL: http://123.130.84.106:8154/tsfile/live/0141_1.m3u8$订阅源, Date: None, Delay: 2225 ms, Speed: 0.03 M/s, Resolution: None
Name: 甘肃卫视, URL: http://222.134.245.16:9901/tsfile/live/0141_1.m3u8$订阅源, Date: None, Delay: 2262 ms, Speed: 0.29 M/s, Resolution: None
Name: 甘肃卫视, URL: http://101.19.84.8:9901/tsfile/live/0141_2.m3u8$订阅源, Date: None, Delay: 282 ms, Speed: 0.14 M/s, Resolution: None
Name: 甘肃卫视, URL: http://120.238.94.10:9901/tsfile/live/1079_1.m3u8$订阅源, Date: None, Delay: 470 ms, Speed: 0.17 M/s, Resolution: None
Name: 甘肃卫视, URL: http://222.134.245.16:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 2262 ms, Speed: 0.29 M/s, Resolution: None
Name: 甘肃卫视, URL: http://183.66.13.82:60033/tsfile/live/0141_1.m3u8$订阅源, Date: None, Delay: 413 ms, Speed: 0.13 M/s, Resolution: None
Name: 甘肃卫视, URL: http://124.128.73.58:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 2260 ms, Speed: 0.05 M/s, Resolution: None
Name: 甘肃卫视, URL: http://221.2.148.205:8154/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 264 ms, Speed: 0.24 M/s, Resolution: None
Name: 甘肃卫视, URL: http://221.2.148.205:8154/tsfile/live/0141_1.m3u8$订阅源, Date: None, Delay: 264 ms, Speed: 0.24 M/s, Resolution: None
Name: 甘肃卫视, URL: http://124.128.73.58:9901/tsfile/live/0141_1.m3u8$订阅源, Date: None, Delay: 2260 ms, Speed: 0.05 M/s, Resolution: None
Name: 广西卫视, URL: http://113.236.31.149:9901/tsfile/live/1046_1.m3u8$订阅源, Date: None, Delay: 358 ms, Speed: 0.12 M/s, Resolution: None
Name: 广西卫视, URL: http://58.220.219.14:9901/tsfile/live/0113_1.m3u8$订阅源, Date: None, Delay: 3097 ms, Speed: 0.01 M/s, Resolution: None
Name: 广西卫视, URL: http://58.220.219.14:9901/tsfile/live/0113_1.m3u8?key=txiptv$订阅源, Date: None, Delay: 3097 ms, Speed: 0.01 M/s, Resolution: None
Name: 广西卫视, URL: http://144.52.160.109:9901/tsfile/live/1034_1.m3u8$订阅源, Date: None, Delay: 554 ms, Speed: 0.02 M/s, Resolution: 720x576
Name: 广西卫视, URL: http://61.138.128.226:19901/tsfile/live/0113_1.m3u8$订阅源, Date: None, Delay: 2507 ms, Speed: 0.03 M/s, Resolution: 1920x1080
Name: 广西卫视, URL: http://183.136.148.214:9901/tsfile/live/1013_1.m3u8$订阅源, Date: None, Delay: 272 ms, Speed: 0.18 M/s, Resolution: None
Name: 广西卫视, URL: http://58.221.214.82:9901/tsfile/live/0113_1.m3u8$订阅源, Date: None, Delay: 3592 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: 广西卫视, URL: http://59.48.75.130:3052/tsfile/live/0139_1.m3u8$订阅源, Date: None, Delay: 1329 ms, Speed: 0.06 M/s, Resolution: None
Name: 广西卫视, URL: http://110.53.52.63:8888/newlive/live/hls/25/live.m3u8$订阅源, Date: None, Delay: 479 ms, Speed: 0.21 M/s, Resolution: None
Name: 广西卫视, URL: http://58.220.219.14:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 3097 ms, Speed: 0.01 M/s, Resolution: None
Name: 广西卫视, URL: http://139.129.231.228:3529/rtp/239.21.1.39:5002$山东电信组播源, Date: 2024-02-06, Delay: 251 ms, Speed: 0.10 M/s, Resolution: None
Name: 广西卫视, URL: http://112.234.21.109:9901/tsfile/live/1011_1.m3u8$订阅源, Date: None, Delay: 284 ms, Speed: 0.24 M/s, Resolution: 720x576
Name: 广西卫视, URL: http://116.117.104.242:8096/tsfile/live/0113_1.m3u8$订阅源, Date: None, Delay: 280 ms, Speed: 0.02 M/s, Resolution: None
Name: 广西卫视, URL: http://58.19.43.46:9901/tsfile/live/1004_1.m3u8$订阅源, Date: None, Delay: 248 ms, Speed: 0.06 M/s, Resolution: 1920x1080
Name: 广西卫视, URL: http://59.48.75.130:3052/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 1329 ms, Speed: 0.06 M/s, Resolution: None
Name: 广西卫视, URL: http://61.138.128.226:19901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 2507 ms, Speed: 0.03 M/s, Resolution: 1920x1080
Name: 广西卫视, URL: http://175.10.230.91:8081/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 261 ms, Speed: 0.43 M/s, Resolution: 720x576
Name: 广西卫视, URL: http://111.160.17.2:59901/tsfile/live/0001_44.m3u8$订阅源, Date: None, Delay: 1003 ms, Speed: 0.02 M/s, Resolution: None
Name: 广西卫视, URL: http://111.160.17.2:59901/tsfile/live/0001_44.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 1003 ms, Speed: 0.02 M/s, Resolution: None
Name: 广西卫视, URL: http://61.136.172.236:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 254 ms, Speed: 0.02 M/s, Resolution: None
Name: 广西卫视, URL: http://111.61.236.247:9081/hls/44/index.m3u8$订阅源, Date: None, Delay: 328 ms, Speed: 0.19 M/s, Resolution: None
Name: 广西卫视, URL: http://61.136.172.236:9901/tsfile/live/0113_1.m3u8$订阅源, Date: None, Delay: 254 ms, Speed: 0.02 M/s, Resolution: None
Name: 广西卫视, URL: http://116.9.204.242:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 262 ms, Speed: 0.17 M/s, Resolution: 720x576
Name: 广西卫视, URL: http://116.9.204.242:9901/tsfile/live/0113_1.m3u8$订阅源, Date: None, Delay: 262 ms, Speed: 0.17 M/s, Resolution: 720x576
Name: 广西卫视, URL: http://175.10.230.91:8081/tsfile/live/0113_1.m3u8$订阅源, Date: None, Delay: 261 ms, Speed: 0.43 M/s, Resolution: 720x576
Name: 广西卫视, URL: http://61.243.161.199:9901/tsfile/live/1046_1.m3u8$订阅源, Date: None, Delay: 789 ms, Speed: 0.03 M/s, Resolution: 1920x1080
Name: 广西卫视, URL: http://116.9.204.242:9901/tsfile/live/0113_1.m3u8?key=txiptv$订阅源, Date: None, Delay: 262 ms, Speed: 0.17 M/s, Resolution: 720x576
Name: 广西卫视, URL: http://113.57.20.158:9901/tsfile/live/1004_1.m3u8$订阅源, Date: None, Delay: 324 ms, Speed: 0.01 M/s, Resolution: None
Name: 广西卫视, URL: http://113.57.20.158:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 324 ms, Speed: 0.01 M/s, Resolution: None
Name: 广西卫视, URL: http://221.233.192.152:1111/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 2829 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: 广西卫视, URL: http://61.173.144.157:9901/tsfile/live/0118_1.m3u8$订阅源, Date: None, Delay: 1027 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: 广西卫视, URL: http://115.149.139.141:10001/tsfile/live/1037_1.m3u8?blog.ntnas.top$订阅源, Date: None, Delay: 261 ms, Speed: 0.50 M/s, Resolution: None
Name: 广西卫视, URL: http://61.173.144.157:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 1027 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: 广西卫视, URL: http://110.7.130.134:8096/tsfile/live/0113_1.m3u8$订阅源, Date: None, Delay: 1927 ms, Speed: 0.01 M/s, Resolution: None
Name: 广西卫视, URL: http://110.7.130.91:8096/tsfile/live/0113_1.m3u8$订阅源, Date: None, Delay: 2110 ms, Speed: 0.00 M/s, Resolution: None
Name: 广西卫视, URL: http://222.169.85.8:9901/tsfile/live/0113_1.m3u8$订阅源, Date: None, Delay: 3793 ms, Speed: 0.02 M/s, Resolution: 720x576
Name: 广西卫视, URL: http://221.233.192.152:1111/tsfile/live/0113_1.m3u8$订阅源, Date: None, Delay: 2829 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: 广西卫视, URL: http://119.163.199.98:9901/tsfile/live/0113_1.m3u8$订阅源, Date: None, Delay: 2264 ms, Speed: 0.01 M/s, Resolution: None
Name: 广西卫视, URL: http://1.30.24.181:9901/tsfile/live/0113_1.m3u8$订阅源, Date: None, Delay: 286 ms, Speed: 0.09 M/s, Resolution: 720x576
Name: 广西卫视, URL: http://117.27.190.42:9998/tsfile/live/23269_1.m3u8?key=txiptv$订阅源, Date: None, Delay: 1054 ms, Speed: 0.05 M/s, Resolution: None
Name: 广西卫视, URL: http://117.27.190.42:9998/tsfile/live/23269_1.m3u8$订阅源, Date: None, Delay: 1054 ms, Speed: 0.05 M/s, Resolution: None
Name: 广西卫视, URL: http://220.249.114.102:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源, Date: None, Delay: 1015 ms, Speed: 0.01 M/s, Resolution: None
Name: 广西卫视, URL: http://110.7.130.44:8096/tsfile/live/0113_1.m3u8$订阅源, Date: None, Delay: 275 ms, Speed: 0.02 M/s, Resolution: None
Name: 广西卫视, URL: http://118.122.189.74:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 738 ms, Speed: 0.03 M/s, Resolution: None
Name: 广西卫视, URL: http://223.166.234.9:7777/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 244 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: 广西卫视, URL: http://121.19.134.222:808/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 555 ms, Speed: 0.01 M/s, Resolution: None
Name: 广西卫视, URL: http://110.7.129.116:8096/tsfile/live/0113_1.m3u8$订阅源, Date: None, Delay: 1329 ms, Speed: 0.02 M/s, Resolution: None
Name: 广西卫视, URL: http://118.122.189.74:9901/tsfile/live/0113_1.m3u8$订阅源, Date: None, Delay: 738 ms, Speed: 0.03 M/s, Resolution: None
Name: 广西卫视, URL: http://110.7.128.156:8096/tsfile/live/0113_1.m3u8$订阅源, Date: None, Delay: 277 ms, Speed: 0.03 M/s, Resolution: None
Name: 广西卫视, URL: http://123.130.84.106:8154/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 2225 ms, Speed: 0.03 M/s, Resolution: None
Name: 广西卫视, URL: http://123.130.84.106:8154/tsfile/live/0113_1.m3u8$订阅源, Date: None, Delay: 2225 ms, Speed: 0.03 M/s, Resolution: None
Name: 广西卫视, URL: http://121.33.239.242:9901/tsfile/live/0113_1.m3u8$订阅源, Date: None, Delay: 1572 ms, Speed: 0.04 M/s, Resolution: None
Name: 广西卫视, URL: http://110.7.129.204:8096/tsfile/live/0113_1.m3u8$订阅源, Date: None, Delay: 494 ms, Speed: 0.02 M/s, Resolution: None
